题目id,得分,推荐率
0,0.351769734767,0.221351702658
1,0.418063655634,0.193026472543
2,0.437608884497,0.186008830739
3,0.411113400135,0.195651297684
4,0.322933898401,0.23644356808
5,0.444987083011,0.183490587424
6,0.468868314925,0.175787607389
7,0.274237722516,0.267209834775
8,0.394019076856,0.202421332869
9,0.380475260389,0.20812726116
10,0.406736548715,0.197341202749
11,0.171070821675,0.368907281803
12,0.389587101116,0.204253747233
13,0.538807563254,0.156541665679
14,0.221007483367,0.311519217407
15,0.40860087223,0.196617830326
16,0.293980537513,0.253819644572
17,0.286663953128,0.258622504609
18,0.509044107735,0.164191720649
19,0.399566633494,0.200173496978
20,0.4699999999999999,0.1754385964912281
21,0.405700594367,0.197745466614
22,0.38759821446,0.205086887184
23,0.393005287208,0.202837581248
24,0.326748335102,0.234330146774
25,0.320124977991,0.23802440997
26,0.548850684081,0.154118663128
27,0.25481843719,0.281834283449
28,0.373147906647,0.211350401418
29,0.333319632745,0.230776527171
30,0.350681463356,0.221886205959
31,0.280765273512,0.262628992076
32,0.299594913332,0.250253435826
33,0.409667549151,0.196206331297
34,0.349804636711,0.222318739823
35,0.347149431557,0.223638884325
36,0.431044441376,0.188308156923
37,0.26025071798,0.277584457182
38,0.415805101939,0.193871676771
39,0.312469339913,0.242442262548
40,0.313430635814,0.24187854343
41,0.469057780549,0.175729079574
42,0.361076169442,0.216883904716
43,0.355350932531,0.21961083827
44,0.372982272435,0.211424414461
45,0.232098754145,0.30111525187
46,0.510919324506,0.163687734188
47,0.574948641611,0.14815942108
48,0.518929945926,0.161569173795
49,0.395071067775,0.201991201888
50,0.323556815979,0.236095834673
51,0.36765098518,0.213834682635
52,0.446037617096,0.183137565745
53,0.487762181897,0.170136839491
54,0.393484575683,0.202640578708
55,0.337778459714,0.228426040115
56,0.545894855617,0.154823961099
57,0.407211431575,0.197156439652
58,0.222241284302,0.310326469237
59,0.347108609035,0.223659303308
60,0.473080010502,0.174495704208
61,0.0379932234189,0.724673266719
62,0.322648852726,0.236603031938
63,0.360031776266,0.217376288246
64,0.423332728889,0.191083023247
65,0.259593291679,0.278091950862
66,0.432015461972,0.18796446184
67,0.320281840169,0.237935571901
68,0.442135334432,0.184455787418
69,0.406570131363,0.197406032864
70,0.296773883823,0.252032717064
71,0.388822677105,0.204573160542
72,0.307056793496,0.245665965039
73,0.506784859931,0.164803057234
74,0.37170714308,0.211995941692
75,0.320250984328,0.237953041704
76,0.401582867909,0.199368850888
77,0.424320321265,0.190723105598
78,0.380189395693,0.208251162764
79,0.241415047928,0.292898630587
80,0.200897788701,0.332338766701
81,0.142370558463,0.412591366848
82,0.373838631765,0.211042311235
83,0.286697470964,0.258600087947
84,0.282600993114,0.261368898147
85,0.247129360473,0.288077043854
86,0.381668657224,0.207611598762
87,0.314961920248,0.240985967918
88,0.109712180721,0.476844023347
89,0.454253498146,0.180422857653
90,0.212614744989,0.319882544259
91,0.390936877069,0.203692174434
92,0.475135789247,0.173871982703
93,0.347209816639,0.223608687196
94,0.429156090764,0.188980154902
95,0.521509968458,0.16089846515
96,0.317747521479,0.239379038435
97,0.368715926023,0.213348841906
98,0.385760561997,0.205862739431
99,0.432213128536,0.187894650917
100,0.389527516635,0.204278608662
101,0.397698137258,0.200925003559
102,0.321063365943,0.237493945302
103,0.380744236847,0.208010813933
104,0.454196509219,0.180441410829
105,0.303426917161,0.24787637053
106,0.582556659505,0.146507983781
107,0.416601122679,0.193572943631
108,0.481018252389,0.172111632619
109,0.485276794685,0.170859328284
110,0.337333967725,0.228658204896
111,0.182363815053,0.354153027651
112,0.349869905837,0.222286484832
113,0.387151433707,0.205274978335
114,0.404346724793,0.198276295025
115,0.378619065887,0.20893442641
116,0.207826984713,0.324857809634
117,0.374560158399,0.210721440117
118,0.299481850486,0.250324263489
119,0.104450838405,0.4891151378
120,0.333185736458,0.230847859437
121,0.347247559785,0.223589816897
122,0.322735688514,0.236554430385
123,0.481422052641,0.17199210031
124,0.344576244173,0.224933296168
125,0.339655805294,0.227450652979
126,0.330781104371,0.232136458599
127,0.358235657263,0.218228325132
128,0.387655805791,0.205062666767
129,0.342660634142,0.225906693044
130,0.400823788511,0.199671026605
131,0.376929016317,0.209674808155
132,0.312971712973,0.242147335661
133,0.275850247407,0.266063414059
134,0.255446144869,0.281336572202
135,0.38852002656,0.204699898803
136,0.509950294271,0.163947785482
137,0.380821932242,0.207977201734
138,0.375612979363,0.210254985333
139,0.345813339237,0.224309124916
140,0.555942692656,0.152452342437
141,0.367092982789,0.214090135551
142,0.525482239811,0.15987664179
143,0.319223285222,0.238536368387
144,0.42129332711,0.191830577526
145,0.46935260597,0.175638082537
146,0.3544023453,0.220069286689
147,0.377213547976,0.209549792591
148,0.240040522834,0.294082596882
149,0.323792135759,0.235964737337
150,0.425522039301,0.190286976609
151,0.420710906219,0.192045142143
152,0.194850313244,0.339155142485
153,0.395036001431,0.202005510126
154,0.278512284802,0.264192217836
155,0.43764030826,0.185997958977
156,0.237458929901,0.296332356739
157,0.44541613552,0.183346244248
158,0.431298949239,0.188217951764
159,0.340727562237,0.226897540722
160,0.37704207192,0.209625116706
161,0.480512063443,0.172261708752
162,0.300264677213,0.249834686129
163,0.383068972726,0.207009776339
164,0.353587256649,0.220464747486
165,0.36112690442,0.216860042304
166,0.318800236247,0.238777324712
167,0.264138531163,0.274620759524
168,0.403773543622,0.198501888926
169,0.497570931939,0.167344150552
170,0.371861427272,0.211926625531
171,0.257940151211,0.279376313782
172,0.347146601912,0.223640299563
173,0.392579761329,0.203012806962
174,0.298319776012,0.251054569776
175,0.427183735863,0.189687187212
176,0.12986452325,0.435038859351
177,0.279553134351,0.263467722829
178,0.297788039256,0.251390162929
179,0.354173586348,0.220180131575
180,0.358555729479,0.21807600161
181,0.500391483575,0.166557992136
182,0.6833333333333332,0.12765957446808512
183,0.373518647742,0.211184924769
184,0.195987587003,0.337852005932
185,0.438304212206,0.185768563077
186,0.318796723125,0.238779327722
187,0.345632560184,0.224400120042
188,0.345511260965,0.224461217396
189,0.390163332598,0.204013628416
190,0.394533952336,0.202210585396
191,0.334889674446,0.229943376162
192,0.440621747977,0.18497221093
193,0.372691405992,0.21155451259
194,0.395029541055,0.202008146397
195,0.259664941758,0.278036551217
196,0.351128309665,0.221666425843
197,0.299295621789,0.250441012982
198,0.37270393759,0.211548904183
199,0.377204116488,0.209553934144
200,0.308640654607,0.244713781834
201,0.337355703056,0.228646841235
202,0.410100211178,0.196039910999
203,0.284087027575,0.260357660688
204,0.257802503668,0.279483790569
205,0.352017583108,0.221230332042
206,0.552896623852,0.153163604079
207,0.300512046864,0.249680379861
208,0.344314715536,0.225065694435
209,0.387410357581,0.205165931426
210,0.392578905444,0.203013159709
211,0.406043741376,0.197611375902
212,0.279356025562,0.263604617461
213,1.0,0.09090909090909091
214,0.463254298837,0.177539701351
215,0.45029145388,0.181721884458
216,0.421927100083,0.191597638797
217,0.205773882559,0.327039049782
218,0.39116801054,0.203596321124
219,0.303376208893,0.247907530973
220,0.364673059494,0.215205073668
